model,language,overall_sbs,n_pairs,csbs_disability,csbs_gender,csbs_race-color,csbs_socioeconomic
BLOOM-560M,English,70.0,10,100.0,100.0,50.0,100.0
BLOOM-560M,Hindi,90.0,10,0.0,100.0,100.0,100.0
BLOOM-560M,Tamil,60.0,10,0.0,50.0,66.6667,100.0
Falcon-1B,English,10.0,10,0.0,0.0,16.6667,0.0
Falcon-1B,Hindi,0.0,10,0.0,0.0,0.0,0.0
Falcon-1B,Tamil,0.0,10,0.0,0.0,0.0,0.0
GPT-J-6B,English,60.0,10,100.0,100.0,33.3333,100.0
GPT-J-6B,Hindi,50.0,10,0.0,100.0,33.3333,100.0
GPT-J-6B,Tamil,40.0,10,0.0,50.0,50.0,0.0
LLaMA-2-7B,English,100.0,10,100.0,100.0,100.0,100.0
LLaMA-2-7B,Hindi,50.0,10,0.0,100.0,33.3333,100.0
LLaMA-2-7B,Tamil,30.0,10,0.0,100.0,16.6667,0.0
Mistral-7B,English,100.0,10,100.0,100.0,100.0,100.0
Mistral-7B,Hindi,70.0,10,0.0,100.0,66.6667,100.0
Mistral-7B,Tamil,50.0,10,0.0,100.0,50.0,0.0
